"Verified","MachineID","GPU","NumGPUs","PricePerHour","Rented","CPU","CPUCores","CPUCoresEffective","RAM","Storage","PCIE","DiskBW","InetDown","InetUp","InternetDownCostPerTB","InternetUpCostPerTB","StorageCost","Location","MoboName","VRAM_GB"
,"36478","RTX 5060 Ti","2","0.06","False","Xeon® E5-2698 v3 ","64","32","64","0.57","6.6","6122","795.9","203.8","0","0","0.2",,"X99-F8D PLUS","15.93"
,"23198","RTX 5060 Ti","2","0.16","False","Core™ Ultra 9 285K","24","24","128","2.6","25.5","2530","910.2","843","2.67","4","0.13",,"ProArt Z890-CREATOR WIFI","15.93"
,"61604","RTX 5060 Ti","2","0.16","False","AMD EPYC 7R13 48-Core Processor","96","48","128","0.77","13.2","3445.1","2738","3021.6","26.67","26.67","0.33",,"ROMED8-2T","15.93"
,"119549","RTX 5060 Ti","2","0.16","False","AMD EPYC 7402 24-Core Processor","48","12","32","0.29","6.7","3101.7","890.4","144.1","0","0","0.2",,"H12D-8D","15.93"
,"23867","RTX 5060 Ti","2","0.11","False","Xeon® E5-2699 v4 ","88","44","128","2.19","5.4","5019.86","1160","5428.4","4","4","0.2",,"ProLiant ML350 Gen9","15.93"
,"29127","RTX 5060 Ti","2","0.16","False","AMD EPYC 7C13 64-Core Processor","128","51.2","128","1.2","13.3","2949.01","2315.7","2321.7","26.67","26.67","0.33",,"Default string","15.93"
,"46493","RTX 5060 Ti","2","0.1","False","AMD EPYC 7R32 48-Core Processor","96","48","64","0.56","13.4","1075","821","596.1","1.33","1.33","0.33",,"MZ32-AR0-00","15.93"
,"46742","RTX 5060 Ti","2","0.07","False","AMD EPYC 7K62 48-Core Processor","96","24","64","0.58","13.8","3198","2404.7","2213","16","16","0.47",,"H12SSL-i","15.93"
,"46035","RTX 5060 Ti","2","0.08","False","AMD EPYC 7552 48-Core Processor","96","48","128","0.69","13.6","1562.37","843.4","506.8","0","0","0.2",,"ROME2D32GM-2T","15.93"
,"113941","RTX 5060 Ti","2","0.15","False","AMD EPYC 7742 64-Core Processor","128","32","128","0.51","13.6","11498.08","7557.6","5693.7","6.67","6.67","0.2",,"H12SSL-i","15.93"
,"37415","RTX 5060 Ti","2","0.17","False","AMD EPYC 7K62 48-Core Processor","192","48","256","1.14","13.5","632.82","1322.9","103.6","13.33","13.33","0.47",,"ROME2D32GM-2T","15.93"
,"32180","RTX 5060 Ti","2","0.19","False","Xeon® E5-2660 v3 ","40","40","64","1.5","6.6","151","512.6","306.8","13.33","13.33","0.67",,"0VD98F","15.93"
,"59149","RTX 5060 Ti","2","0.2","False","AMD EPYC 7742 64-Core Processor","128","32","64","0.24","13.8","1606.4","1943.9","670","2.67","4","0.2",,"H12SSL-I","15.93"
,"27956","RTX 5060 Ti","2","0.11","False","AMD EPYC 7642 48-Core Processor","96","48","64","0.14","8.3","1894","899.9","918.1","6.67","6.67","0.2",,"MZ32-AR0-00","15.93"
,"49879","RTX 5060 Ti","2","0.22","False","AMD EPYC 7282 16-Core Processor","32","32","256","2.83","12.7","1396","846.7","893.4","40","40","0.16",,"S8030GM2NE","15.93"
,"58509","RTX 5060 Ti","2","0.18","False","Xeon® E7-8890 v4 ","192","96","256","2.92","6.5","1918.06","882.6","917.1","6.67","6.67","0.13",,"01FH6X","15.93"
,"55836","RTX 5060 Ti","2","0.2","False","AMD EPYC 7B13 64-Core Processor","128","128","512","1.28","13.2","4513.6","8045.7","6797.8","40","40","0.33",,"ROMED8-2T","15.93"
,"101179","RTX 5060 Ti","2","0.13","False","12th Gen Core™ i3-12100F","8","8","64","0.14","6.6","1700","904.2","900.6","2.67","4","0.2",,"TUF GAMING B760M-PLUS D4","15.93"
,"125138","RTX 5060 Ti","2","0.14","False","AMD Ryzen 5 5600 6-Core Processor","12","12","32","0.27","13.7","2849.1","500.3","435.5","5.33","5.33","0.2",,"ROG STRIX B550-E GAMING","15.93"
,"113150","RTX 5060 Ti","2","0.12","False","AMD Ryzen 5 3600 6-Core Processor","12","12","32","1.38","6.8","330","904.6","919.6","8.06","6.69","0.31",,"PRIME X470-PRO","15.93"
,"56160","RTX 5060 Ti","2","0.28","False","AMD EPYC 7B13 64-Core Processor","128","128","512","5.96","13.5","4077.33","1982.2","3701.6","4","4","0.13",,"H12D-8D","15.93"
,"42379","RTX 5060 Ti","2","0.21","False","AMD EPYC 7763 64-Core Processor","256","64","256","1.73","12.3","10188.8","859.7","857.4","2.84","4","0.2",,"ROME2D32GM-2T","15.93"
,"45745","RTX 5060 Ti","2","0.18","False","AMD EPYC 7B13 64-Core Processor","256","85.33","96","0.89","13.6","2464","6984.8","3541.9","40","40","0.2",,"H12DSG-O-","15.93"
,"48149","RTX 5060 Ti","2","0.16","False","AMD EPYC 7B13 64-Core Processor","256","51.2","128","0.3","14.2","2240.36","7368.2","3740.4","40","40","0.2",,"H12DSG-O-","15.93"
,"50929","RTX 5060 Ti","2","0.14","False","AMD EPYC 9124 16-Core Processor","32","8","96","0.47","27","6506","7074.3","6535","6.67","6.67","0.2",,"K14PA-U12 Series","15.93"
,"17278","RTX 5060 Ti","2","0.2","False","AMD EPYC 7B13 64-Core Processor","128","32","64","2.96","13.5","7781.8","1831.8","2185.4","33.33","33.33","0.27",,"ROMED16QM3","15.93"
,"12330","RTX 5060 Ti","2","0.2","False","AMD EPYC 9534 64-Core Processor","128","32","64","1.33","26.9","4759","655.7","864.7","33.33","33.33","0.27",,"GENOAD24QM32-2L2T","15.93"
,"30313","RTX 5060 Ti","2","0.3","False","AMD EPYC 7B13 64-Core Processor","128","32","128","1.88","13.6","19558.4","8556.1","6301.2","40","53.33","0.27",,"ROMED16QM3","15.93"
,"43689","RTX 5060 Ti","2","0.2","False","AMD EPYC 7B13 64-Core Processor","128","32","256","0.7","13.5","1370.28","7745.6","5974.9","40","40","0.2",,"ROMED16QM3","15.93"
,"46208","RTX 5060 Ti","2","0.2","False","AMD Ryzen 9 7900X 12-Core Processor","24","24","64","2.74","27.3","5922","1796.9","2197.9","33.33","33.33","0.27",,"MPG X670E CARBON WIFI ","15.93"
,"37051","RTX 5060 Ti","2","0.14","False","AMD EPYC 7532 32-Core Processor","64","16","128","0.45","13.5","6331","7091.9","6090.8","6.67","6.67","0.2",,"H12SSL-CT","15.93"
,"48943","RTX 5060 Ti","2","0.2","False","AMD Ryzen 9 5950X 16-Core Processor","32","32","64","1.96","13.7","1785","837.9","932.3","33.33","33.33","0.21",,"X570D4U-2L2T","15.93"
,"67941","RTX 5060 Ti","2","0.18","False","AMD Ryzen 9 5900X 12-Core Processor","24","24","64","6.24","13.7","6098","1750.2","2245.6","26.67","26.67","0.2",,"B550 VISION D-P","15.93"
,"105116","RTX 5060 Ti","2","0.18","False","Core™ Ultra 5 245KF","14","14","64","6.07","24.6","4286.3","2019.5","2231.7","33.33","33.33","0.27",,"MPG Z890 CARBON WIFI ","15.93"
,"33638","RTX 5060 Ti","2","0.3","False","AMD EPYC 7B13 64-Core Processor","128","42.67","384","0.27","13.6","4441.54","935.9","935.4","26.67","26.67","0.2",,"ROMED16QM3","15.93"
,"10685","RTX 5060 Ti","2","0.3","False","AMD EPYC 7402P 24-Core Processor","48","24","128","1.15","6.8","196","834.1","804.7","40","40","0.16",,"ROMED8-2T","15.93"
,"77414","RTX 5060 Ti","2","0.16","False","Xeon® E5-2680 v4 ","28","28","64","0.67","6.4","1654.76","920.9","598.4","5.33","5.33","0.21",,"X99A GAMING PRO CARBON ","15.93"
,"70346","RTX 5060 Ti","2","0.07","False","AMD EPYC 7R12 48-Core Processor","96","38.4","64","0.27","13.5","1644.5","106.2","76.2","16","17.33","0.87",,"S8030GM2NE","15.93"
