"Verified","MachineID","GPU","NumGPUs","PricePerHour","Rented","CPU","CPUCores","CPUCoresEffective","RAM","Storage","PCIE","DiskBW","InetDown","InetUp","InternetDownCostPerTB","InternetUpCostPerTB","StorageCost","Location","MoboName","VRAM_GB"
,"49732","RTX 5060 Ti","4","0.14","False","AMD EPYC 7H12 64-Core Processor","128","42.67","128","3.2","13.6","6673.45","4458.1","1676.2","2.67","1.33","0.48",,"ROMED16QM3","15.93"
,"106654","RTX 5060 Ti","4","0.15","False","AMD EPYC 7742 64-Core Processor","128","64","128","1.58","13.6","1630","2024","733.2","2.67","4","0.2",,"ROMED8-2T","15.93"
,"15359","RTX 5060 Ti","4","0.2","False","AMD EPYC 9334 32-Core Processor","128","64","128","2.67","26.9","12083.2","8201.9","7596.8","40","40","0.33",,"GENOA2D24G-2L","15.93"
,"53171","RTX 5060 Ti","4","0.18","False","AMD EPYC 7502 32-Core Processor","64","32","128","0.27","13.5","4543","928.3","91.4","0","0","0.13",,"ROMED8-2T","15.93"
,"56513","RTX 5060 Ti","4","0.16","False","AMD EPYC 7502 32-Core Processor","64","32","64","0.74","13.4","4712","842.8","849.9","0","0","0.12",,"ROMED8-2T","15.93"
,"56810","RTX 5060 Ti","4","0.16","False","AMD EPYC 7B13 64-Core Processor","128","64","128","0.22","13.5","3094.6","928","791.1","40","40","0.2",,"H12D-8D","15.93"
,"49927","RTX 5060 Ti","4","0.12","False","AMD Ryzen Threadripper PRO 3975WX 32-Cores","64","32","128","1.05","13.6","3825","879.5","837","3.33","3.33","0.37",,"WRX80 Creator R2","15.93"
,"12330","RTX 5060 Ti","4","0.2","False","AMD EPYC 9534 64-Core Processor","128","64","128","2.65","26.9","4759","655.7","864.7","33.33","33.33","0.27",,"GENOAD24QM32-2L2T","15.93"
,"51383","RTX 5060 Ti","4","0.25","False","AMD EPYC 7642 48-Core Processor","96","96","256","2.24","13.2","5080","7111.4","6257.5","40","40","0.2",,"ROMED8QM-2T","15.93"
,"43689","RTX 5060 Ti","4","0.2","False","AMD EPYC 7B13 64-Core Processor","128","64","512","1.4","13.6","1370.28","7745.6","5974.9","40","40","0.2",,"ROMED16QM3","15.93"
,"89794","RTX 5060 Ti","4","0.17","False","AMD EPYC 7B13 64-Core Processor","128","64","128","1.64","13.5","1320","756.9","157.6","4","4","0.13",,"H12SSL-i","15.93"
,"118381","RTX 5060 Ti","4","0.13","False","AMD EPYC 7402 24-Core Processor","48","48","384","2.81","13.2","2646.6","792.9","28.3","1.33","1.33","0.2",,"ROMED8-2T","15.93"
