"Verified","MachineID","GPU","NumGPUs","PricePerHour","Rented","CPU","CPUCores","CPUCoresEffective","RAM","Storage","PCIE","DiskBW","InetDown","InetUp","InternetDownCostPerTB","InternetUpCostPerTB","StorageCost","Location","MoboName","VRAM_GB"
,"16821","RTX 5080","1","0.26","False","AMD Ryzen 7 9800X3D 8-Core Processor","16","8","32","0.71","13.7","6073.01","1664.2","925","2.67","4","0.2",,"ProArt B650-CREATOR","15.92"
,"136609","RTX 5080","1","0.35","False","AMD Ryzen Threadripper 9960X 24-Cores","48","12","32","0.75","55.1","10547.2","1515.2","1918.3","0","0","0.24",,"Pro WS TRX50-SAGE WIFI A","15.92"
,"45749","RTX 5080","1","0.2","False","AMD Ryzen 7 7700 8-Core Processor","16","16","64","0.53","27.5","4911","361.9","320.8","40","40","1",,"PRO B650-S ","15.92"
,"57627","RTX 5080","1","0.2","False","AMD Ryzen 7 7700 8-Core Processor","16","16","64","0.56","27.5","5619.6","547","737.8","40","40","1",,"PRO B650-S ","15.92"
,"30918","RTX 5080","1","0.25","False","Core™ i9-14900K","32","16","64","1.53","21.8","6166","918.1","930.6","0.4","0.4","0.12",,"MEG Z690 UNIFY ","15.92"
,"55875","RTX 5080","1","0.12","False","12th Gen Core™ i9-12900","24","24","64","0.72","30.7","3861","534.4","924","0","0","0.03",,"PRIME Z690-P D4","15.92"
,"42085","RTX 5080","1","0.24","False","AMD Ryzen Threadripper PRO 5995WX 64-Cores","128","64","64","1.58","26.6","4955","939.1","936.1","2.67","4","0.2",,"Pro WS WRX80E-SAGE SE WIFI","15.92"
,"34630","RTX 5080","1","0.3","False","Core™ i5-14600KF","20","10","32","1.55","12.7","5461","784.8","786.5","27.31","27.31","0.1",,"Z690A VALKYRIE","15.92"
,"56551","RTX 5080","1","0.32","False","AMD Ryzen 7 9700X 8-Core Processor","16","8","32","0.64","27.5","4010","930.8","913.7","2.67","4","0.2",,"ProArt X670E-CREATOR WIFI","15.92"
,"36625","RTX 5080","1","0.2","False","AMD Ryzen 9 9950X3D 16-Core Processor","32","32","96","2.83","54.3","6811.3","926.5","904.1","0","0","0.13",,"ROG STRIX X870-I GAMING WIFI","15.92"
,"51655","RTX 5080","1","0.31","False","AMD Ryzen 9 7900 12-Core Processor","24","12","32","0.76","27.5","3301","869.2","289.3","2.67","4","0.2",,"ROG STRIX X670E-F GAMING WIFI","15.92"
,"58911","RTX 5080","1","0.1","False","AMD EPYC 7502 32-Core Processor","64","32","32","0.33","19.4","2890","1315.1","1275.7","2.67","4","0.2",,"H12D-8D","15.92"
,"56993","RTX 5080","1","0.19","False","AMD Ryzen 7 9700X 8-Core Processor","16","16","32","0.92","27.5","1279","672.5","612.1","5.33","5.33","0.08",,"TUF GAMING B650-E WIFI","15.92"
,"32679","RTX 5080","1","0.25","False","AMD Ryzen 9 9950X 16-Core Processor","32","16","64","1.2","27.5","2878.85","974.1","944.9","2.67","4","0.2",,"ProArt X670E-CREATOR WIFI","15.92"
,"41922","RTX 5080","1","0.4","False","Core™ i5-14500","20","10","64","0.59","14.9","4694","569.5","820.5","2.67","4","0.16",,"IMB-X1316","15.92"
,"33569","RTX 5080","1","0.12","False","AMD Ryzen 5 3600 6-Core Processor","12","12","64","1.65","27","1988.28","878.7","113.6","1.33","9.33","0.27",,"PRIME X570-PRO","15.92"
,"125295","RTX 5080","1","0.27","False","AMD Ryzen 9 9900X3D 12-Core Processor","12","12","64","0.23","13.7","1771","2115.7","698.2","1.33","2","0.07",,"X870E AORUS PRO ICE","15.92"
,"56455","RTX 5080","1","0.3","False","AMD Ryzen 5 9600X 6-Core Processor","12","12","64","1.52","51.8","5109","595.1","456.8","26.67","26.67","0.33",,"ROG STRIX B650E-F GAMING WIFI","15.92"
,"33670","RTX 5080","1","0.58","False","AMD Ryzen 5 9600X 6-Core Processor","12","12","64","1.52","50.9","6174","874","848.9","8","8","0.2",,"X870 Pro RS WiFi","15.92"
,"53825","RTX 5080","1","0.25","False","AMD EPYC 7502 32-Core Processor","64","16","32","0.55","11.5","845","952.3","889.4","2.67","4","0.4",,"S8030GM2NE","15.92"
,"49171","RTX 5080","1","0.3","False","AMD EPYC 7F32 8-Core Processor","16","4","32","0.31","13.8","1978.1","733.3","933.4","1.33","1.33","0.2",,"ROMED8-2T","15.92"
,"136989","RTX 5080","1","0.35","False","AMD Ryzen 5 7600 6-Core Processor","12","12","32","0.29","27.4","373","838.7","71.8","2.67","4","0.2",,"EX-B650M-V7","15.92"
,"116172","RTX 5080","1","0.4","False","13th Gen Core™ i5-13600K","20","20","64","1.51","18.9","2684.25","380.8","228.8","2.67","4","0.04",,"TUF GAMING Z790-PLUS WIFI D4","15.92"
,"58628","RTX 5080","1","0.1","False","AMD Ryzen 9 5950X 16-Core Processor","32","32","64","0.73","27.1","2326","678","339.2","13.33","4","0.02",,"TUF GAMING X570-PLUS","15.92"
,"97383","RTX 5080","1","0.16","False","AMD Ryzen 9 9900X 12-Core Processor","24","12","64","0.26","27.5","8330.16","748.1","848.5","1.33","1.33","0.07",,"ROG CROSSHAIR X870E HERO","15.92"
,"37751","RTX 5080","1","0.08","False","AMD Ryzen 7 9800X3D 8-Core Processor","16","8","32","0.35","27.5","877.38","903.8","536.2","0","0","0.2",,"X870E Taichi Lite","15.92"
,"59492","RTX 5080","1","0.18","False","AMD EPYC 7302 16-Core Processor","32","8","64","0.38","25.3","2073.34","75.4","74.7","2.67","4","0.2",,"ROMED8-2T","15.92"
,"137505","RTX 5080","1","0.34","False","AMD Ryzen 7 3700X 8-Core Processor","16","16","64","1.54","27","5656.87","54.4","13.5","2.67","4","0.2",,"MAG X570 TOMAHAWK WIFI ","15.92"
,"72537","RTX 5080","1","0.14","False","Core™ i9-10920X ","24","24","64","0.29","13.2","2326","262.5","83.5","2.67","4","0.13",,"X299X AORUS MASTER","15.92"
,"57006","RTX 5080","1","0.25","False","AMD EPYC 7B12 64-Core Processor","128","64","64","0.68","26.8","7031","835.3","510","53.33","53.33","0.2",,"H12SSL-I","15.92"
,"133736","RTX 5080","1","0.25","False","AMD Ryzen 9 9950X 16-Core Processor","32","32","128","0.3","57.8","9316.02","321.3","36","2.67","4","0.2",,"PRIME X870-P WIFI","15.92"
,"37753","RTX 5080","1","0.08","False","AMD Ryzen 7 7800X3D 8-Core Processor","16","8","32","0.39","27.5","1623.55","84.3","93.6","0","0","0.2",,"X670E Taichi Carrara","15.92"
,"96650","RTX 5080","1","0.2","False","Core™ Ultra 9 285K","24","24","32","1.46","49.4","6536.1","615","615.5","2.67","4","0.2",,"01CVX5","15.92"
,"51066","RTX 5080","1","0.14","False","AMD Ryzen 5 5600G with Radeon Graphics","6","6","32","0.24","12.7","825","511.2","346.6","2.67","4","0.2",,"B550M DS3H","15.92"
,"127023","RTX 5080","1","0.23","False","AMD Ryzen 5 8500G w/ Radeon 740M Graphics","12","12","64","1.63","6.9","317","21","1.6","2.67","4","0.2",,"B650M Pro RS","15.92"
,"114036","RTX 5080","1","0.29","False","AMD Ryzen 5 7600X 6-Core Processor","12","12","32","1.44","27.5","3816.37","876.3","469.9","2.67","4","0.17",,"TUF GAMING B650-PLUS","15.92"
,"137459","RTX 5080","1","0.23","False","Core™ Ultra 5 225F","10","10","32","0.07","34.8","452","703.5","602.7","2.67","4","1",,"PRO H810M-B ","15.92"
