"Verified","MachineID","GPU","NumGPUs","PricePerHour","Rented","CPU","CPUCores","CPUCoresEffective","RAM","Storage","PCIE","DiskBW","InetDown","InetUp","InternetDownCostPerTB","InternetUpCostPerTB","StorageCost","Location","MoboName","VRAM_GB"
,"34763","RTX 5080","1","0.4","False","AMD EPYC 7532 32-Core Processor","64","32","64","0.71","20","3518","549.5","813","2.67","4","0.4",,"S8030GM2NE","15.92"
,"136620","RTX 5080","1","0.35","False","AMD Ryzen 9 9900X 12-Core Processor","24","24","32","2.98","55","9957.72","7536.8","7320.4","40.96","53.33","0.47",,"ProArt X870E-CREATOR WIFI","15.92"
,"34618","RTX 5080","1","0.3","False","Core™ i5-14600KF","20","10","32","1.41","12.8","6363","903.4","847.9","27.31","27.31","0.1",,"Z690A VALKYRIE","15.92"
,"57939","RTX 5080","1","0.32","False","AMD Ryzen 9 5900XT 16-Core Processor","32","32","64","0.64","26.8","2046.06","864.8","875.6","2.67","4","0.33",,"B550 UD AC-Y1","15.92"
,"59050","RTX 5080","1","0.4","False","AMD EPYC 7642 48-Core Processor","192","38.4","64","0.58","27","381.7","9039.1","3287.6","2.67","4","0.2",,"H12DSG-O-","15.92"
,"10216","RTX 5080","1","0.5","False","Core™ Ultra 7 265KF","20","20","64","1.33","50.8","3846","1895.6","240.3","0.67","2.67","0.2",,"Z890 EAGLE WIFI7","15.92"
,"135777","RTX 5080","1","0.35","False","AMD Ryzen 5 3600 6-Core Processor","12","12","32","1.4","13.5","2215.58","629.2","286.7","4","4","0.2",,"B450-A PRO MAX ","15.92"
,"67637","RTX 5080","1","0.35","False","AMD Ryzen 5 3600 6-Core Processor","12","12","32","0.57","13.7","1285","937","913","2.67","4","0.2",,"B550M-HDV","15.92"
,"125600","RTX 5080","1","0.5","False","AMD Ryzen 5 3600X 6-Core Processor","12","12","32","0.32","13.5","832.1","932.3","900.1","20","20","0.2",,"ROG STRIX B450-F GAMING II","15.92"
,"58091","RTX 5080","1","1","False","AMD EPYC 7K62 48-Core Processor","192","192","1024","12.56","22.5","3202.2","2990.6","6141.5","5.33","10.67","0.2",,"ROME2D32GM-2T","15.92"
,"53825","RTX 5080","1","0.25","False","AMD EPYC 7502 32-Core Processor","64","16","32","0.55","10.9","845","952.3","889.4","2.67","4","0.4",,"S8030GM2NE","15.92"
,"137402","RTX 5080","1","0.55","False",,"0","0","32","0.7","27.3","312","10.2","25.9","2.67","4","0.2",,"B650 EAGLE AX","15.92"
,"51593","RTX 5080","1","0.28","False","AMD EPYC 7R32 48-Core Processor","96","24","32","0.25","27","1390","748.9","690.2","1.33","1.33","0.4",,"H12SSL-i","15.92"
,"125782","RTX 5080","1","0.3","False","AMD Ryzen 7 9800X3D 8-Core Processor","16","8","32","0.33","27.5","2958.85","897.9","889","0","0","0.03",,"X670E Taichi Carrara","15.92"
,"59492","RTX 5080","1","0.18","False","AMD EPYC 7302 16-Core Processor","32","8","64","0.38","25.3","2073.34","75.4","74.7","2.67","4","0.2",,"ROMED8-2T","15.92"
,"109304","RTX 5080","1","0.35","False","AMD Ryzen 9 7950X3D 16-Core Processor","32","32","64","0.8","31.4","6728.3","547.3","512.6","4","4","0.2",,"X670E Taichi","15.92"
,"137643","RTX 5080","1","0.31","False","AMD Ryzen 7 9850X3D 8-Core Processor","16","16","64","0.34","55.2","307","616.2","623.9","2.67","4","0.13",,"B850 MAX GAMING WIFI W","15.92"
,"133917","RTX 5080","1","0.29","False","AMD Ryzen 9 9950X3D 16-Core Processor","32","32","64","2.88","3.4","11571.2","632.6","180.8","2.67","4","0.2",,"ProArt X870E-CREATOR WIFI","15.92"
,"128285","RTX 5080","1","0.38","False","AMD Ryzen 7 9800X3D 8-Core Processor","16","16","64","1.44","55.2","13004.8","927.8","288.5","2.67","4","0.2",,"ROG STRIX X670E-E GAMING WIFI","15.92"
,"136624","RTX 5080","1","0.41","False","AMD Ryzen 9 9950X 16-Core Processor","32","32","32","0.3","54.8","7036","904.2","930.3","6.67","6.67","0.01",,"B650M AORUS ELITE AX","15.92"
,"137278","RTX 5080","1","1","False","AMD Ryzen 9 3900X 12-Core Processor","24","24","64","0.2","27","1121.8","841.2","341.2","1.33","1.33","0.2",,"PRIME B550M-K ARGB","15.92"
,"57014","RTX 5080","1","0.32","False","AMD Ryzen 7 7700 8-Core Processor","16","16","64","1.58","55.1","6005.9","481.7","485.1","2.93","4.27","0.27",,"MAG B850 TOMAHAWK MAX WIFI ","15.92"
,"137462","RTX 5080","1","0.23","False","Core™ Ultra 5 225F","10","10","32","0.06","34.8","449","613.2","557.8","2.67","4","1",,"PRO H810M-B ","15.92"
