"Verified","MachineID","GPU","NumGPUs","PricePerHour","Rented","CPU","CPUCores","CPUCoresEffective","RAM","Storage","PCIE","DiskBW","InetDown","InetUp","InternetDownCostPerTB","InternetUpCostPerTB","StorageCost","Location","MoboName","VRAM_GB"
,"23779","RTX 6000Ada","1","0.64","False","AMD EPYC 7443 24-Core Processor","96","12","64","0.59","23.7","2607.11","9585","7502.5","2.67","2.67","0.2",,"H12DSG-O-","44.99"
,"97835","RTX 6000Ada","1","0.6","False","Xeon® w5-3435X","8","8","96","0.58","23.9","3585","1031.6","1009.4","12","12","0.33",,"Pro WS W790E-SAGE SE","47.99"
,"11770","RTX 6000Ada","1","0.63","False","AMD EPYC 7B13 64-Core Processor","128","128","512","2.52","25.1","6415","1296.1","1042.2","2.67","4","0.2",,"ROMED8-2T","47.99"
,"100231","RTX 6000Ada","1","0.64","False","AMD EPYC 7443 24-Core Processor","96","12","64","0.47","23.4","3007.21","8717.5","6858","2.67","2.67","0.19",,"H12DSG-O-","47.99"
,"24739","RTX 6000Ada","1","0.5","False","AMD EPYC 9474F 48-Core Processor","96","12","128","0.34","25.5","4059.43","657.2","694.7","4","4","0.13",,"MZB3-G41-000","47.99"
,"11431","RTX 6000Ada","1","0.73","False","AMD EPYC 7B13 64-Core Processor","128","128","256","0.66","24.4","5174.68","332","136","4","5.33","0.21",,"H12SSL-NT","47.99"
,"40508","RTX 6000Ada","1","0.55","False","AMD EPYC 7C13 64-Core Processor","128","21.33","96","0.7","12.8","4012","897.4","932.8","13.33","13.33","0.4",,"ROMED8-2T","47.99"
,"8296","RTX 6000Ada","1","0.8","False",,"128","128","256","6.14","25.5","4540.9","4193","1202.1","6.67","6.67","0.13",,"MZ32-AR0-00","47.99"
,"116700","RTX 6000Ada","1","0.65","False","AMD Ryzen Threadripper PRO 5955WX 16-Cores","32","10.67","192","3.88","25","8240","5601.4","1385.6","40","40","0.2",,"Pro WS WRX80E-SAGE SE WIFI","47.99"
,"32808","RTX 6000Ada","1","0.39","False","Core™ Ultra 7 265K","20","20","96","1.24","24.3","8506","892.9","917.8","0","0","0.11",,"ROG STRIX Z890-E GAMING WIFI","47.99"
,"43541","RTX 6000Ada","1","0.63","False","XEON® PLATINUM 8558","192","24","256","0.18","25.7","7230","809.1","853.7","0","0","0.2",,"MSB3-G40-000","47.99"
,"21069","RTX 6000Ada","1","0.5","False","AMD Ryzen 9 9950X 16-Core Processor","32","32","192","3.16","25.6","7072","1826.3","1639.5","4","4","0.27",,"MPG X670E CARBON WIFI ","47.99"
,"120887","RTX 6000Ada","1","0.6","False","AMD Ryzen Threadripper PRO 7965WX 24-Cores","16","16","64","0.33","25.5","2498.34","170.6","160","2.67","4","0.2",,"TRX50WS","47.99"
,"41007","RTX 6000Ada","1","0.65","False","Core™ i9-14900KS","32","32","128","1.35","22.7","4729","874.2","900.8","10.67","10.67","0.2",,"Z790 AORUS ELITE AX","47.99"
,"58281","RTX 6000Ada","1","0.6","False","AMD Ryzen Threadripper 3960X 24-Core Processor","48","48","128","0.5","24.1","3773","3048.6","1258.2","2.67","4","0.2",,"TRX40 PRO 10G ","47.99"
,"137117","RTX 6000Ada","1","0.5","False","Xeon® w9-3495X","112","56","256","0.09","23.9","4352.6","31.5","31.9","2.67","4","0.2",,"01G0M6","47.99"
