"Verified","MachineID","GPU","NumGPUs","PricePerHour","Rented","CPU","CPUCores","CPUCoresEffective","RAM","Storage","PCIE","DiskBW","InetDown","InetUp","InternetDownCostPerTB","InternetUpCostPerTB","StorageCost","Location","MoboName","VRAM_GB"
,"44218","RTX PRO 5000","1","0.66","False","AMD EPYC 7543 32-Core Processor","48","16","64","1.95","26.6","3494.8","670.8","492.2","26.67","26.67","0.2",,"ROMED8-2T","47.79"
,"123157","RTX PRO 5000","1","1.9","False","AMD EPYC 7K62 48-Core Processor","96","24","64","1.52","26.6","3526","2069.9","2333.6","33.33","13.33","0.47",,"MZ22-G20-00","47.79"
,"101259","RTX PRO 5000","1","1.01","False","AMD EPYC 9555 64-Core Processor","128","32","256","0.66","27.6","6121","12652","11637.5","3.55","5.32","0.27",,"H13SSH","47.79"
,"57105","RTX PRO 5000","1","0.6","False","AMD Ryzen 9 5950X 16-Core Processor","32","32","96","0.41","27","2358","488.3","345.2","14.67","14.67","0.27",,"B550 AORUS PRO AC","47.79"
,"55798","RTX PRO 5000","1","0.73","False","AMD Ryzen Threadripper PRO 3945WX 12-Cores","24","24","128","3.24","24.2","7061","923.5","873.3","4.1","4.1","0.27",,"Pro WS WRX80E-SAGE SE WIFI","47.79"
,"36993","RTX PRO 5000","1","0.68","False","AMD Ryzen 7 5800X 8-Core Processor","16","16","64","0.92","27","1806.2","629.9","508.9","26.67","26.67","0.2",,"ProArt X570-CREATOR WIFI","47.79"
,"136195","RTX PRO 5000","1","0.66","False","AMD EPYC 9354P 32-Core Processor","64","16","96","1.25","54.2","5406","1415","765.2","6.67","6.67","0.2",,"GENOAD8X-2T","47.79"
,"54678","RTX PRO 5000","1","0.6","False","AMD Ryzen Threadripper PRO 7965WX 24-Cores","48","24","128","1.21","54.1","6115.57","902.3","463.6","4","4","0.2",,"Pro WS WRX90E-SAGE SE","47.79"
,"98743","RTX PRO 5000","1","1","False","AMD Ryzen 9 9950X3D 16-Core Processor","32","32","96","1.1","48.3","7365","2325","2342","40","40","0.33",,"X870 Pro RS WiFi","47.79"
,"46383","RTX PRO 5000","1","1.29","False","AMD Ryzen 9 5900XT 16-Core Processor","32","32","32","2.98","27","1481","837.3","829.8","40","40","0.13",,"B550M K","47.79"
,"86342","RTX PRO 5000","1","0.7","False","AMD Ryzen Threadripper 3960X 24-Core Processor","48","48","64","0.78","27","1346.68","1963.3","1337.5","12","12","0.2",,"TRX40D8-2N2T","47.79"
,"95301","RTX PRO 5000","1","0.65","False","Xeon® w5-3435X","12","12","96","2.36","53.9","7614","1024.1","1007.6","12","12","0.33",,"Pro WS W790E-SAGE SE","47.79"
,"45775","RTX PRO 5000","1","0.7","False","AMD EPYC 7452 32-Core Processor","128","16","64","0.52","23.7","4239","6625.3","1990.9","12","12","0.2",,"ROME2D32GM-2T","47.79"
,"55051","RTX PRO 5000","1","0.7","False","AMD EPYC 9354 32-Core Processor","128","16","64","0.49","54.9","3669","6502.4","2675.2","12","12","0.2",,"TURIN2D24G-2L","47.79"
,"67815","RTX PRO 5000","1","1.25","False","AMD EPYC 7B13 64-Core Processor","128","128","512","4.97","26.6","9260","6137","4162.9","26.67","26.67","0.08",,"ROMED16QM3","47.79"
