"Verified","MachineID","GPU","NumGPUs","PricePerHour","Rented","CPU","CPUCores","CPUCoresEffective","RAM","Storage","PCIE","DiskBW","InetDown","InetUp","InternetDownCostPerTB","InternetUpCostPerTB","StorageCost","Location","MoboName","VRAM_GB"
,"55294","RTX PRO 6000 WS","1","0.9","False","AMD EPYC 9454P 48-Core Emb Processor","96","24","128","0.33","54.1","3004","910.2","874","0","0","0.2",,"GENOAD8X-2T","95.59"
,"131608","RTX PRO 6000 WS","1","1.05","False","AMD EPYC 7532 32-Core Processor","64","64","256","3.1","13.2","5122","1971.6","1770.1","4","6.67","0.33",,"H12SSL-I","95.59"
,"47193","RTX PRO 6000 WS","1","0.89","False","Xeon® Platinum 8480+","112","28","128","0.22","53.7","3364","456.1","425.2","0","0","0.2",,"SPC741D8-2L2T","95.59"
,"34311","RTX PRO 6000 WS","1","1.1","False","AMD Ryzen 9 9950X 16-Core Processor","32","32","256","6.2","52.7","7144","2418.3","3402.8","2.67","4","0.2",,"MAG X870 TOMAHAWK WIFI ","95.59"
,"67856","RTX PRO 6000 WS","1","0.6","False","AMD EPYC 7V13 64-Core Processor","128","64","256","1.56","27","2167.32","271.1","48.9","16","17.33","0.87",,"S8030GM2NE","95.59"
,"43933","RTX PRO 6000 WS","1","0.95","False",,"64","32","64","1.04","54.1","1835.95","639.7","701.2","4","4","0.2",,"GENOA2D24G-2L","95.59"
,"122008","RTX PRO 6000 WS","1","2.97","False","AMD Ryzen Threadripper PRO 5955WX 16-Cores","32","8","96","0.21","26.5","5085.8","8322.1","8308.3","53.33","53.33","0",,"WRX80 Creator R2","95.59"
,"43966","RTX PRO 6000 WS","1","1","False","AMD EPYC 9554 64-Core Processor","128","64","128","2.97","54.1","7222","7812.7","7223.6","2.67","4","0.33",,"GENOAD8UD-2T","95.59"
,"21555","RTX PRO 6000 WS","1","1.4","False","AMD Ryzen 9 9950X 16-Core Processor","32","32","192","3.17","43","8616","7013.1","4868.7","10.67","10.67","0.27",,"B650D4U","95.59"
,"31993","RTX PRO 6000 WS","1","0.99","False","Core™ Ultra 9 285K","24","24","256","3","50.9","2854.36","813.7","921.9","4","4","0.2",,"ROG STRIX Z890-E GAMING WIFI","95.59"
,"43145","RTX PRO 6000 WS","1","0.85","False","Core™ Ultra 7 265K","20","20","192","2.56","40.2","4609","900.7","756.6","1.33","1.33","0.27",,"Z890 EAGLE WIFI7","95.59"
,"55794","RTX PRO 6000 WS","1","0.96","False","AMD EPYC 9454P 48-Core Emb Processor","96","24","192","0.17","54.1","3801","930.4","940.5","0","0","0.2",,"K14PG-U12 Series","95.59"
,"61489","RTX PRO 6000 WS","1","0.96","False","Core™ i9-14900K","32","32","128","1.51","44.3","726","717.7","743.9","2.67","4","0.2",,"Z790 Pro RS WiFi","95.59"
,"95955","RTX PRO 6000 WS","1","1","False","AMD Ryzen Threadripper 3970X 32-Core Processor","32","32","128","0.88","27.2","1906","860.7","700.8","3.55","5.32","0.99",,"TRX40D8-2N2T","95.59"
,"137288","RTX PRO 6000 WS","1","1.2","False","AMD EPYC 9B14 96-Core Processor","192","192","768","6.31","54.9","4223","5643.2","3892.7","2.67","4","0.2",,"H13SSL-NT","95.59"
,"111175","RTX PRO 6000 WS","1","1","False","AMD Ryzen Threadripper PRO 9965WX 24-Cores","48","48","512","9.25","54.3","17993.81","911.9","885","2.67","4","0.13",,"Pro WS WRX90E-SAGE SE","95.59"
