"Verified","MachineID","GPU","NumGPUs","PricePerHour","Rented","CPU","CPUCores","CPUCoresEffective","RAM","Storage","PCIE","DiskBW","InetDown","InetUp","InternetDownCostPerTB","InternetUpCostPerTB","StorageCost","Location","MoboName","VRAM_GB"
,"48817","RTX PRO 6000 WS","4","0.87","False","AMD EPYC 9654 96-Core Processor","192","192","256","0.81","54.1","12185.6","187.8","37.8","2.67","4","0.61",,"K14PA-U12 Series","95.59"
,"113519","RTX PRO 6000 WS","4","0.95","False","AMD EPYC 9124 16-Core Processor","64","64","512","0.49","54.9","4063","904.8","920","0","0","0.2",,"K14PG-D24 Series","95.59"
,"45831","RTX PRO 6000 WS","4","0.9","False","AMD EPYC 7642 48-Core Processor","192","192","1024","4.51","25","4718","3698.9","2954.6","8","9.33","0.2",,"ROME2D32GM-2T","95.59"
,"8218","RTX PRO 6000 WS","4","0.9","False","AMD EPYC 7642 48-Core Processor","192","128","768","0.63","26.6","4624","5682.9","3058.8","9.33","12","0.2",,"ROME2D32GM-2T","95.59"
,"39274","RTX PRO 6000 WS","4","1.09","False","AMD EPYC 9374F 32-Core Processor","128","64","768","4.45","54","10086.4","8073","7947.4","26.67","26.67","0.33",,"G5DCTR-B PCBA","95.59"
,"8683","RTX PRO 6000 WS","4","0.9","False","AMD EPYC 7642 48-Core Processor","192","192","1024","3.52","26.6","3981.82","6451.2","3753","9.33","12","0.47",,"ROME2D32GM-2T","95.59"
,"45824","RTX PRO 6000 WS","4","0.9","False","AMD EPYC 7642 48-Core Processor","192","128","768","1.95","26.6","5014","5360.1","3476.7","8","9.33","0.2",,"ROME2D32GM-2T","95.59"
,"103044","RTX PRO 6000 WS","4","0.93","False","AMD EPYC 9354 32-Core Processor","128","73.14","1024","8.88","54.2","18022.4","6073.5","4474.1","40","40","0.2",,"TURIN2D24G-2L","95.59"
,"55794","RTX PRO 6000 WS","4","0.96","False","AMD EPYC 9454P 48-Core Emb Processor","96","96","768","0.7","54.1","3801","930.4","940.5","0","0","0.2",,"K14PG-U12 Series","95.59"
,"124191","RTX PRO 6000 WS","4","0.71","False","AMD Ryzen Threadripper PRO 9965WX 24-Cores","48","48","512","2.52","54.3","6306","855.5","680.9","4.1","4.1","0.13",,"Pro WS WRX90E-SAGE SE","95.59"
,"56669","RTX PRO 6000 WS","4","1","False","Xeon® Gold 6434","32","32","512","0.29","26","3191","873.9","916.3","0","0","0.2",,"Z13PG-D32 Series","95.59"
,"133467","RTX PRO 6000 WS","4","0.75","False","Xeon® E5-2643 v4 ","24","24","768","0.95","6.6","1921","3473.7","2904.7","40","40","0.67",,"0WCJNT","95.59"
,"119971","RTX PRO 6000 WS","4","1","False","AMD EPYC 7543 32-Core Processor","64","64","512","3.18","26.6","5592","6592.1","5566.5","2.67","4","0.23",,"ROMED8-2T","95.59"
,"98261","RTX PRO 6000 WS","4","1.9","False","AMD EPYC 9J14 96-Core Processor","384","192","512","5.66","54.1","11366.4","8603.9","7103.1","33.33","13.33","0.6",,"K15PG-D24 Series","95.59"
,"15512","RTX PRO 6000 WS","4","0.92","False","AMD EPYC 9654 96-Core Processor","384","192","512","2.51","54.1","4747.9","2833.2","2859.7","5.33","5.33","0.11",,"T1DMGEP","95.59"
,"53702","RTX PRO 6000 WS","4","0.95","False","AMD EPYC 9654 96-Core Processor","384","192","384","0.91","53.8","10004.48","5648.7","5836.5","0","0","0.13",,"GENOA2D24G-2L","95.59"
,"16809","RTX PRO 6000 WS","4","0.92","False","AMD EPYC 9654 96-Core Processor","384","192","512","5.04","54.1","5015","2974.9","1691.3","5.33","5.33","0.11",,"T1DMGEP","95.59"
,"52532","RTX PRO 6000 WS","4","1.7","False","AMD EPYC 9554 64-Core Processor","256","256","768","6.03","54.2","4706.8","687.6","898.1","26.67","26.67","0.33",,"GENOA2D24G-2L","95.59"
,"38830","RTX PRO 6000 WS","4","0.95","False","AMD EPYC 9B14 96-Core Processor","384","192","768","5.48","54.1","859","2443.4","2565","0.27","0.4","0.09",,"TURIN2D24G-2L","95.59"
,"42857","RTX PRO 6000 WS","4","0.9","False","AMD EPYC 9555 64-Core Processor","256","256","512","4.69","54.4","12595.2","934.3","935.6","8","9.33","0.2",,"GENOA2D24G-2L","95.59"
,"37485","RTX PRO 6000 WS","4","1.14","False","AMD EPYC 9654 96-Core Processor","384","192","768","1.24","54.2","7048","4678","3758.4","5.33","5.33","0.32",,"TURIN2D24G-2L","95.59"
,"132178","RTX PRO 6000 WS","4","0.83","False","AMD EPYC 9654 96-Core Processor","384","219.43","768","2.38","53.5","11445.49","2982.7","1959.8","1.33","2.67","0.13",,"K15PG-D24 Series","95.59"
,"50938","RTX PRO 6000 WS","4","1.2","False","AMD EPYC 9274F 24-Core Processor","96","64","256","7.04","54.2","6597","5810.3","1353.7","12","12","0.2",,"GENOA2D24G-2L","95.59"
